seed,alpha,eta,AUC,CST,CST_equal,CST_base,loss_start_epoch,loss_end_epoch
2,0.1,6,0.7160,,2.03915,1.82800,2.74737,5.513453960418701,5.098515033721924
2,0.1,7,0.7140,,2.04993,1.82929,2.74881,5.5501708984375,5.09274959564209
2,0.1,8,0.7216,,1.73437,1.77330,2.70622,5.647076606750488,5.032573223114014
2,0.1,9,0.7172,,1.86899,1.76876,2.69708,5.677911281585693,5.029312610626221
2,0.1,10,0.7159,,1.90929,1.60176,2.49514,5.74691915512085,4.996987342834473
2,0.2,0,0.6767,,1.73748,1.04504,1.21588,2.7968804836273193,1.7696352005004883
2,0.2,1,0.7298,,1.91547,1.81374,2.71791,6.4239349365234375,6.1374053955078125
2,0.2,2,0.7319,,1.82379,1.82465,2.74762,5.438411235809326,5.257205486297607
2,0.2,3,0.7303,,1.95032,1.82998,2.76060,5.662360191345215,5.40569543838501
2,0.2,4,0.7281,,1.79132,1.80206,2.74070,5.877448558807373,5.446187973022461
2,0.2,5,0.7252,,2.01838,1.81871,2.72930,5.943819999694824,5.496804714202881
2,0.2,6,0.7243,,2.03617,1.82190,2.73644,5.985713481903076,5.502571105957031
2,0.2,7,0.7209,,1.79720,1.82027,2.76558,5.9162821769714355,5.489583969116211
2,0.2,8,0.7191,,1.95033,1.85100,2.78684,6.0217604637146,5.474736213684082
2,0.2,9,0.7174,,1.79802,1.66350,2.59685,6.056169033050537,5.452888488769531
2,0.2,10,0.7171,,2.06085,1.78096,2.69274,6.031610012054443,5.448549747467041
2,0.3,0,0.6796,,1.73963,1.04579,1.21977,3.4426229000091553,2.6440412998199463
2,0.3,1,0.7380,,1.91632,1.81579,2.71558,6.648153781890869,6.457329273223877
2,0.3,2,0.7424,,1.79372,1.83464,2.75430,5.848814010620117,5.690279006958008
2,0.3,3,0.7402,,1.79182,1.82167,2.74636,6.105537414550781,5.820688247680664
2,0.3,4,0.7384,,2.00354,1.80801,2.71009,6.154818534851074,5.880598068237305
2,0.3,5,0.7463,,1.85831,1.77311,2.71414,6.3570475578308105,5.862109661102295
2,0.3,6,0.7343,,2.03264,1.80722,2.71516,6.362128734588623,5.906867504119873
2,0.3,7,0.7324,,2.04177,1.80397,2.71871,6.37217903137207,5.900746822357178
2,0.3,8,0.7303,,2.03586,1.77569,2.69152,6.347368240356445,5.891897201538086
2,0.3,9,0.7276,,1.81939,1.75467,2.69667,6.320502281188965,5.874706268310547
2,0.3,10,0.7257,,2.04668,1.72572,2.64179,6.34814453125,5.8611345291137695
2,0.4,0,0.6783,,1.73873,1.04394,1.21428,4.719997882843018,3.5075042247772217
2,0.4,1,0.7498,,1.92031,1.82148,2.71636,6.959317207336426,6.780288219451904
2,0.4,2,0.7558,,1.79268,1.82742,2.74179,6.3097052574157715,6.124509334564209
2,0.4,3,0.7541,,1.78880,1.94179,2.88840,6.4499101638793945,6.226670742034912
2,0.4,4,0.7513,,1.99878,1.78560,2.68120,6.547168731689453,6.288112640380859
2,0.4,5,0.7494,,2.01365,1.78503,2.68295,6.607616424560547,6.305368423461914
2,0.4,6,0.7475,,2.01312,1.78671,2.68945,6.69964599609375,6.3100457191467285
2,0.4,7,0.7454,,1.78128,1.75123,2.68530,6.674283504486084,6.300191402435303
2,0.4,8,0.7424,,2.01298,1.73744,2.64434,6.770912170410156,6.292263031005859
