alpha,beta,gamma,AUC,CST,CST_equal,CST_base,loss_start_epoch,loss_end_epoch
0.9,0.7,0.2,0.8678,,2.08656,1.17027,0.75974,0.8779925108493396,0.21143805373349203
0.9,0.7,0.3,0.8678,,2.12301,1.23478,0.85013,0.8961521814383291,0.23061842691049153
0.9,0.7,0.4,0.8611,,2.07922,1.17385,0.83105,0.9143106190334901,0.25344851774283633
0.9,0.7,0.5,0.8525,,2.19806,1.29849,1.01641,0.9324701976625633,0.27777599342456266
0.9,0.7,0.6,0.8585,,2.36938,1.48256,1.25929,0.9506285256152759,0.3009134383756261
0.9,0.7,0.7,0.8561,,2.46195,1.60002,1.40302,0.9687875087353643,0.3223691607134314
0.9,0.7,0.8,0.8652,,2.62558,1.79776,1.64748,0.986948841482374,0.34045466337255575
0.9,0.7,0.9,0.8723,,2.73569,1.90333,1.78775,1.0051037283820865,0.36027440834518376
0.9,0.7,0.99,0.8750,,2.86526,2.03530,1.93664,1.0214530257516556,0.37551385183072067
0.9,0.7,1.0,0.8765,,2.85565,2.01037,1.91854,1.0232599836088065,0.37704053561466033
0.9,0.8,0,0.9038,,2.40310,1.32772,1.03789,0.7921644673356073,0.181850513109116
0.9,0.8,0.001,0.8947,,2.37948,1.33742,1.05819,0.7923482677977401,0.1901280344929966
0.9,0.8,0.1,0.8532,,2.07638,1.20028,0.77805,0.810325074453844,0.1759770424571308
0.9,0.8,0.2,0.8598,,2.04911,1.20082,0.80019,0.8284842383764799,0.1941319822566374
0.9,0.8,0.3,0.8570,,2.07513,1.23887,0.86112,0.846641584169338,0.2128957140623072
0.9,0.8,0.4,0.8562,,2.06953,1.23551,0.89374,0.8648009567888499,0.23377337783064467
0.9,0.8,0.5,0.8457,,2.05144,1.20314,0.90889,0.8829577270663462,0.25750056744911737
0.9,0.8,0.6,0.8453,,2.21297,1.37978,1.14691,0.9011191962752071,0.2818871079746724
0.9,0.8,0.7,0.8516,,2.34131,1.50712,1.32766,0.9192747845641119,0.3041497205860234
0.9,0.8,0.8,0.8612,,2.51321,1.70096,1.58314,0.9374378142429968,0.3241359168231971
0.9,0.8,0.9,0.8626,,2.55216,1.74596,1.64726,0.9555925437198016,0.34608945876655545
0.9,0.8,0.99,0.8715,,2.66641,1.85186,1.78396,0.9719392549787371,0.3612019886725437
